**Zabrain's Fragrances and Perfume Impressions Business Plan Compliance Requirements**

The following is a detailed .csv file listing all relevant government policies, compliance requirements, permits, and legal considerations related to the Zabrain's Fragrances and Perfume Impressions Business Plan in Karachi, Pakistan.

| **Policy/Regulation** | **Description** | **Compliance Requirement** | **Permit/License** | **Authority** |
| --- | --- | --- | --- | --- |
| **Sales Tax Act 1990** | Imposes a sales tax on the sale of goods and services | Obtain a sales tax registration number, file quarterly sales tax returns, and pay applicable sales tax | Sales Tax Registration Certificate | Federal Board of Revenue (FBR) |
| **Income Tax Ordinance 2001** | Imposes an income tax on the profits of businesses | Obtain an income tax registration number, file annual income tax returns, and pay applicable income tax | Income Tax Registration Certificate | Federal Board of Revenue (FBR) |
| **Sindh Sales Tax on Services Act 2011** | Imposes a sales tax on the provision of services | Obtain a sales tax registration number, file quarterly sales tax returns, and pay applicable sales tax | Sales Tax Registration Certificate | Sindh Revenue Board (SRB) |
| **Sindh Labour Laws** | Regulates employment and working conditions | Comply with minimum wage requirements, provide safe working conditions, and maintain employee records | Labour Laws Compliance Certificate | Sindh Labour Department |
| **Environmental Protection Act 1997** | Regulates environmental pollution and waste management | Obtain an environmental impact assessment report, implement pollution control measures, and maintain records of hazardous waste disposal | Environmental Protection Certificate | Sindh Environmental Protection Agency (SEPA) |
| **Pakistan Standards and Quality Control Authority (PSQCA)** | Regulates product standards and quality control | Obtain PSQCA certification for products, maintain records of product testing and inspection | PSQCA Certificate | Pakistan Standards and Quality Control Authority (PSQCA) |
| **Karachi Metropolitan Corporation (KMC) Building Regulations** | Regulates building construction and maintenance | Obtain a building permit, comply with building codes and zoning regulations | Building Permit | Karachi Metropolitan Corporation (KMC) |
| **Karachi Metropolitan Corporation (KMC) Trade License** | Regulates businesses operating in Karachi | Obtain a trade license, renew annually | Trade License | Karachi Metropolitan Corporation (KMC) |
| **Sindh Food Authority Act 2016** | Regulates food safety and hygiene | Obtain a food safety certification, maintain records of food safety and hygiene practices | Food Safety Certification | Sindh Food Authority (SFA) |
| **Pakistan Intellectual Property Organization (IPO) Trademarks Ordinance 2001** | Regulates trademark registration and protection | Register trademarks with IPO, maintain records of trademark registration and renewal | Trademark Registration Certificate | Pakistan Intellectual Property Organization (IPO) |

**Additional Requirements:**

* Obtain a National Tax Number (NTN) from the Federal Board of Revenue (FBR)
* Register with the Employees' Old-Age Benefits Institution (EOBI) and the Social Security Institution (SSI) for employee benefits
* Comply with the requirements of the Sindh Private Security Agencies (Regulation) Act 2016, if applicable
* Obtain a permit from the Sindh Environmental Protection Agency (SEPA) for hazardous waste disposal, if applicable

**Note:**

* The above list of policies and regulations is not exhaustive and is subject to change.
* It is the responsibility of the business owner to ensure compliance with all applicable laws and regulations.
* The business owner should consult with relevant authorities and experts to ensure compliance with all requirements.
